         334652780 function calls (317930857 primitive calls) in 499.271 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1251/1226    0.031    0.000    6.207    0.005 /home/nidhal/workspace/coog/trytond/trytond/modules/coog_core/model.py:337(search)
        1    0.000    0.000    6.186    6.186 /home/nidhal/workspace/coog/trytond/trytond/modules/commission/commission.py:333(cancel)
   268704    0.976    0.000    6.063    0.000 /home/nidhal/workspace/coog/trytond/trytond/tools/__init__.py:15(cursor_dict)
87633/46125    0.063    0.000    6.055    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelsql.py:1302(<genexpr>)
      867    0.041    0.000    6.052    0.007 <string>:1(search__account_invoice_line)
 1026/517    0.013    0.000    5.966    0.012 /home/nidhal/workspace/coog/trytond/trytond/model/modelsingleton.py:29(read)
     1530    0.037    0.000    5.902    0.004 <string>:1(search__ir_model)
      855    0.033    0.000    5.893    0.007 /home/nidhal/workspace/coog/trytond/trytond/ir/sequence.py:350(get_id)
    39762    0.058    0.000    5.831    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/client.py:1969(hincrby)
 1018/509    0.007    0.000    5.784    0.011 <string>:1(read__account_configuration)
  3383006    3.197    0.000    5.773    0.000 /home/nidhal/.virtualenvs/coog/lib/python2.7/abc.py:148(__subclasscheck__)
      683    0.013    0.000    5.759    0.008 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:1364(check_modify)
1702123/1687576    3.625    0.000    5.738    0.000 {sorted}
    39789    0.073    0.000    5.669    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/client.py:1386(rpush)
  1757285    3.646    0.000    5.646    0.000 /home/nidhal/workspace/coog/trytond/trytond/transaction.py:24(__exit__)
 10149019    5.624    0.000    5.624    0.000 /home/nidhal/.virtualenvs/coog/lib/python2.7/_weakrefset.py:70(__contains__)
        1    0.000    0.000    5.489    5.489 <string>:1(create__account_invoice)
      170    0.003    0.000    5.367    0.032 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/contract.py:2118(get_cancelled_in_rebill)
 13076935    5.358    0.000    5.358    0.000 /home/nidhal/workspace/coog/trytond/trytond/transaction.py:57(__new__)
     3465    0.022    0.000    5.317    0.002 /home/nidhal/workspace/coog/trytond/trytond/backend/postgresql/database.py:325(nextid)
      691    0.005    0.000    5.210    0.008 <string>:1(search__ir_property)
      691    0.015    0.000    5.205    0.008 /home/nidhal/workspace/coog/trytond/trytond/modules/company/company.py:281(search)
  1880350    3.283    0.000    4.826    0.000 /home/nidhal/workspace/coog/trytond/trytond/pool.py:58(__new__)
      860    0.107    0.000    4.821    0.006 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/invoice.py:140(get_contract_invoice_field)
  418/381    0.005    0.000    4.776    0.013 <string>:1(read__party_party)
      170    0.003    0.000    4.765    0.028 /home/nidhal/workspace/coog/trytond/trytond/modules/account_cog/move.py:103(_cancel_default)
      170    0.003    0.000    4.710    0.028 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:364(_cancel_default)
  2831416    3.965    0.000    4.471    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/msgpack/fallback.py:304(_fb_read)
    33079    0.072    0.000    4.462    0.000 /home/nidhal/workspace/coog/trytond/trytond/modules/currency_cog/currency.py:32(round)
  1312067    2.465    0.000    4.432    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:1248(not_cached)
28963/28706    1.051    0.000    4.403    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/sql/__init__.py:590(params)
    33079    0.214    0.000    4.390    0.000 /home/nidhal/workspace/coog/trytond/trytond/modules/currency/currency.py:197(round)
      170    0.004    0.000    4.287    0.025 /home/nidhal/workspace/coog/trytond/trytond/ir/sequence.py:200(write)
        1    0.003    0.003    4.216    4.216 <string>:1(create__account_invoice_line)
        1    0.001    0.001    4.213    4.213 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:1945(create)
        4    0.001    0.000    4.106    1.026 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:1386(process)
        6    0.005    0.001    4.056    0.676 <string>:1(_validate__commission)
